chr	TSS	Strand	Gene_symbol
chr5	89705603	-	CETN3
chr4	123653613	-	CETN4P
chr16	56995834	+	CETP
chr16	58163296	-	CFAP20
chr2	120302007	+	CFAP221
chr2	55746730	+	CFAP36
chr10	105992120	-	CFAP43
chr3	113160361	-	CFAP44
chr3	113122844	+	CFAP44-AS1
chr1	159869906	-	CFAP45
chr10	134756089	-	CFAP46
chr17	9479943	+	CFAP52
chr18	47792865	-	CFAP53
chr1	43638000	+	CFAP57
chr10	106113521	+	CFAP58
chr20	20033157	+	CFAP61
chr7	89874487	+	CFAP69
chr10	75118617	-	CFAP70
chr1	1935276	-	CFAP74
chr4	186125182	-	CFAP97
chr4	2420671	+	CFAP99
chr6	31913720	+	CFB
chr2	131357148	-	CFC1
chr2	131278666	+	CFC1B
chr19	859664	+	CFD
chr16	75467387	-	CFDP1
chr1	196621007	+	CFH
chr1	196788860	+	CFHR1
chr1	196912933	+	CFHR2
chr1	196743929	+	CFHR3
chr1	196857143	+	CFHR4
chr1	196946666	+	CFHR5
chr4	110723335	-	CFI
chr11	65625804	-	CFL1
chr10	89578069	+	CFL1P1
chr14	35184029	-	CFL2
chr2	201980876	+	CFLAR
chr2	202022515	-	CFLAR-AS1
chrX	47489704	-	CFP
chr7	117120016	+	CFTR
chr6	87804865	-	CGA
chr19	49527632	-	CGB
chr19	49540191	-	CGB1
chr19	49535129	+	CGB2
chr19	49547101	+	CGB5
chr19	49558997	-	CGB7
chr19	49552368	-	CGB8
chr3	88199016	-	CGGBP1
chr1	151483861	+	CGN
chr15	57668702	+	CGNL1
chr2	27341995	-	CGREF1
chr14	54976586	+	CGRRF1
chr10	90967071	-	CH25H
chr15	41245635	+	CHAC1
chr2	53994928	+	CHAC2
chr17	48546227	-	CHAD
chr22	41636935	-	CHADL
chr19	4402659	+	CHAF1A
chr21	37757688	+	CHAF1B
chr13	115079964	+	CHAMP1
chr10	50817140	+	CHAT
chr10	75541807	+	CHCHD1
chr22	24110159	-	CHCHD10
chr7	56174187	-	CHCHD2
chr7	132766828	-	CHCHD3
chr3	14166371	-	CHCHD4
chr2	113342035	+	CHCHD5
chr3	126423062	+	CHCHD6
chr8	57124314	+	CHCHD7
chr5	98262238	-	CHD1
chr1	146714290	+	CHD1L
chr15	93443550	+	CHD2
chr17	7788122	+	CHD3
chr12	6716599	-	CHD4
chr1	6240194	-	CHD5
chr20	40247133	-	CHD6
chr8	61591323	+	CHD7
chr14	21905457	-	CHD8
chr16	53088944	+	CHD9
chrX	36065052	+	CHDC2
chr3	53880420	-	CHDH
chr11	125495030	+	CHEK1
chr22	29137822	-	CHEK2
chr15	20487996	+	CHEK2P2
chr19	16653263	-	CHERP
chr12	133464204	-	CHFR
chr14	93389444	+	CHGA
chr20	5891973	+	CHGB
chr1	203155922	-	CHI3L1
chr1	111770280	+	CHI3L2
chr1	111833473	+	CHIA
chr1	111823145	+	CHIAP2
chrX	72782983	+	CHIC1
chr4	54930815	-	CHIC2
chr11	915058	-	CHID1
chr1	203198860	-	CHIT1
chr11	67888858	-	CHKA
chr22	51021428	-	CHKB
chr22	51021454	+	CHKB-AS1
chr22	51021428	-	CHKB-CPT1B
chr3	238278	+	CHL1
chr3	427478	-	CHL1-AS1
chrX	85302566	-	CHM
chr1	241799232	-	CHML
chr16	89724193	-	CHMP1A
chr18	11851388	+	CHMP1B
chrX	79590817	-	CHMP1B2P
chr19	59066491	-	CHMP2A
chr3	87276412	+	CHMP2B
chr2	86790620	-	CHMP3
chr14	24683036	-	CHMP4A
chr20	32399109	+	CHMP4B
chr8	82644687	+	CHMP4C
chr9	33264876	+	CHMP5
chr17	78965640	+	CHMP6
chr8	23101149	+	CHMP7
chr2	175870107	-	CHN1
chr7	29186162	+	CHN2
chr21	19289656	+	CHODL
chr21	19257925	-	CHODL-AS1
chr11	89956532	-	CHORDC1
chr15	41523436	+	CHP1
chr16	23765947	+	CHP2
chr2	220408487	-	CHPF
chr7	150929574	+	CHPF2
chr12	102091416	+	CHPT1
chr8	141521396	+	CHRAC1
chr3	184097860	+	CHRD
chrX	110039286	-	CHRDL1
chr11	74442227	-	CHRDL2
chr15	30685864	-	CHRFAM7A
chr11	62689012	-	CHRM1
chr7	136553398	+	CHRM2
chr1	239792372	+	CHRM3
chr1	240063172	-	CHRM3-AS1
chr1	239882419	-	CHRM3-AS2
chr11	46408107	-	CHRM4
chr15	34261088	+	CHRM5
chr2	175629200	-	CHRNA1
chr11	3692614	-	CHRNA10
chr8	27336813	-	CHRNA2
chr15	78913637	-	CHRNA3
chr20	61992748	-	CHRNA4
chr15	78857861	+	CHRNA5
chr8	42623929	-	CHRNA6
chr15	32322685	+	CHRNA7
chr4	40337345	+	CHRNA9
chr17	7348405	+	CHRNB1
chr1	154540256	+	CHRNB2
chr8	42552561	+	CHRNB3
chr15	78933587	-	CHRNB4
chr2	233390869	+	CHRND
chr17	4806369	-	CHRNE
chr2	233404436	+	CHRNG
chr11	45687206	-	CHST1
chr2	101034130	-	CHST10
chr12	104850691	+	CHST11
chr7	2443194	+	CHST12
chr3	126243130	+	CHST13
chr15	40763159	+	CHST14
chr10	125853123	-	CHST15
chr3	142838617	+	CHST2
chr10	73724119	+	CHST3
chr16	71560022	+	CHST4
chr16	75569068	-	CHST5
chr16	75528926	-	CHST6
chrX	46433121	+	CHST7
chr19	34112860	+	CHST8
chr18	24765302	-	CHST9
chr15	101792137	-	CHSY1
chr5	129240522	+	CHSY3
chr16	838621	+	CHTF18
chr16	69166493	-	CHTF8
chr1	153606457	+	CHTOP
chr10	101989344	-	CHUK
chr14	65381078	+	CHURC1
chr14	65381078	+	CHURC1-FNTB
chr2	96931883	+	CIAO1
chr16	57481369	-	CIAPIN1
chr1	150254942	+	CIART
chr15	90808991	-	CIB1
chr15	78423877	-	CIB2
chr19	16284336	-	CIB3
chr2	26864211	-	CIB4
chr19	42788816	+	CIC
chr18	12254317	+	CIDEA
chr14	24780576	-	CIDEB
chr3	9921938	-	CIDEC
chr3	10067820	-	CIDECP
chr16	10971054	+	CIITA
chr15	65503840	-	CILP
chr19	19649073	+	CILP2
chr14	102829253	-	CINP
chr14	77564577	+	CIPC
chr2	175260443	-	CIR1
chr19	1269264	+	CIRBP
chr19	1270259	-	CIRBP-AS1
chr16	69166498	+	CIRH1A
chr10	60028861	+	CISD1
chr4	103790134	+	CISD2
chr17	36886509	+	CISD3
chr3	50649262	-	CISH
chr12	54150818	-	CISTR
chr12	120315095	-	CIT
chrX	71527037	-	CITED1
chr6	139695787	-	CITED2
chr1	41328018	-	CITED4
chr9	130966662	-	CIZ1
chr13	53029494	+	CKAP2
chr2	113522254	-	CKAP2L
chr12	106641713	-	CKAP4
chr11	46867859	-	CKAP5
chr14	103989196	-	CKB
chr16	66586465	+	CKLF
chr16	66586465	+	CKLF-CMTM1
chr19	45826235	-	CKM
chr15	43985083	+	CKMT1A
chr15	43885251	+	CKMT1B
chr5	80529138	+	CKMT2
chr5	80597388	-	CKMT2-AS1
chr1	154947117	+	CKS1B
chr9	91926112	+	CKS2
chr2	122407052	-	CLASP1
chr3	33759705	-	CLASP2
chr19	45542297	+	CLASRP
chr19	40228669	-	CLC
chr1	86934525	+	CLCA1
chr1	86889768	+	CLCA2
chr1	87099958	+	CLCA3P
chr1	87012758	+	CLCA4
chr1	109506121	-	CLCC1
chr11	67141648	-	CLCF1
chr7	143013218	+	CLCN1
chr3	184079439	-	CLCN2
chr4	170541671	+	CLCN3
chrX	10124984	+	CLCN4
chrX	49687224	+	CLCN5
chr1	11866152	+	CLCN6
chr16	1525085	-	CLCN7
chr1	16348485	+	CLCNKA
chr1	16370230	+	CLCNKB
chr3	190040235	-	CLDN1
chr13	96085852	+	CLDN10
chr13	96186164	-	CLDN10-AS1
chr3	170136652	+	CLDN11
chr7	90032647	+	CLDN12
chr21	37948867	-	CLDN14
chr7	100882101	-	CLDN15
chr3	190105660	+	CLDN16
chr21	31538971	-	CLDN17
chr3	137717657	+	CLDN18
chr1	43205925	-	CLDN19
chrX	106143393	+	CLDN2
chr6	155585146	+	CLDN20
chr4	184241927	-	CLDN22
chr8	8559665	+	CLDN23
chr4	184243579	-	CLDN24
chr11	113650517	+	CLDN25
chr7	73184600	-	CLDN3
chr7	73245192	+	CLDN4
chr22	19512860	-	CLDN5
chr16	3068188	-	CLDN6
chr17	7166512	-	CLDN7
chr21	31588469	-	CLDN8
chr16	3062456	+	CLDN9
chr3	98241910	-	CLDND1
chr19	51872257	-	CLDND2
chr17	6983600	-	CLEC10A
chr19	51226604	+	CLEC11A
chr12	10103914	+	CLEC12A
chr12	10163230	+	CLEC12B
chr14	38725575	-	CLEC14A
chr16	11038344	+	CLEC16A
chr19	14693895	+	CLEC17A
chr16	69984607	+	CLEC18A
chr16	74455368	-	CLEC18B
chr16	70207927	+	CLEC18C
chr16	19297104	+	CLEC19A
chr12	10251664	-	CLEC1A
chr12	10151899	-	CLEC1B
chr12	10084980	-	CLEC2A
chr12	10022458	-	CLEC2B
chr12	9822303	+	CLEC2D
chr7	139208673	+	CLEC2L
chr16	78056442	+	CLEC3A
chr3	45067758	+	CLEC3B
chr12	8276227	+	CLEC4A
chr12	7902069	-	CLEC4C
chr12	8666135	+	CLEC4D
chr12	8693558	-	CLEC4E
chr2	71047732	-	CLEC4F
chr19	7797057	-	CLEC4G
chr19	7852369	+	CLEC4GP1
chr19	7828034	+	CLEC4M
chr7	141646807	-	CLEC5A
chr12	8608590	+	CLEC6A
chr12	10282868	-	CLEC7A
chr12	10183275	+	CLEC9A
chr12	9885895	-	CLECL1
chr4	141348815	-	CLGN
chr2	55459699	-	CLHC1
chr6	31705095	-	CLIC1
chrX	154563990	-	CLIC2
chr9	139891024	-	CLIC3
chr1	25071759	+	CLIC4
chr6	46048085	-	CLIC5
chr21	36041687	+	CLIC6
chr5	157286183	-	CLINT1
chr12	122907116	-	CLIP1
chr12	122880088	+	CLIP1-AS1
chr7	73703804	+	CLIP2
chr19	36523797	-	CLIP3
chr2	29320541	+	CLIP4
chr2	201729467	-	CLK1
chr1	155243320	-	CLK2
chr7	23626146	-	CLK2P
chr15	74900712	+	CLK3
chr5	178054054	-	CLK4
chr12	92815306	+	CLLU1
chr12	92821924	-	CLLU1OS
chr14	95786245	-	CLMN
chr11	123066007	-	CLMP
chr16	28503623	-	CLN3
chr13	77566058	+	CLN5
chr15	68522080	-	CLN6
chr8	1711869	+	CLN8
chr4	10686386	-	CLNK
chr11	77348851	-	CLNS1A
chr4	56413076	-	CLOCK
chr11	57425215	+	CLP1
chr11	72145724	-	CLPB
chr19	6361462	+	CLPP
chr6	35765121	-	CLPS
chr6	35748830	+	CLPSL1
chr6	35744370	+	CLPSL2
chr19	45457841	+	CLPTM1
chr5	1345002	-	CLPTM1L
chr15	65477563	-	CLPX
chr3	150690786	-	CLRN1
chr3	150690464	+	CLRN1-AS1
chr4	17516787	+	CLRN2
chr10	129691211	-	CLRN3
chr1	36235551	-	CLSPN
chr1	9884550	-	CLSTN1
chr3	139654026	+	CLSTN2
chr3	140227631	-	CLSTN2-AS1
chr12	7282966	+	CLSTN3
chr9	36190852	+	CLTA
chr5	175843570	-	CLTB
chr17	57697049	+	CLTC
chr22	19279239	-	CLTCL1
chr8	27472328	-	CLU
chr16	3550944	+	CLUAP1
chr17	2614927	-	CLUH
chr16	31711933	+	CLUHP3
chr18	596997	+	CLUL1
chr8	62200524	+	CLVS1
chr6	123317115	+	CLVS2
chr13	100258917	+	CLYBL
chr13	100381255	-	CLYBL-AS1
chr13	100343225	-	CLYBL-AS2
chr14	24977471	-	CMA1
chr6	25138620	-	CMAHP
chr12	22199109	+	CMAS
chr5	10308168	-	CMBL
chr3	28283123	+	CMC1
chr16	81040502	-	CMC2
chrX	154299547	-	CMC4
chr16	81478774	+	CMIP
chr12	108733094	-	CMKLR1
chr1	47799468	+	CMPK1
chr2	7006766	-	CMPK2
chr3	99536677	+	CMSS1
chr16	66600293	+	CMTM1
chr16	66613350	+	CMTM2
chr16	66637934	+	CMTM3
chr16	66730610	-	CMTM4
chr14	23846016	+	CMTM5
chr3	32544403	-	CMTM6
chr3	32433162	+	CMTM7
chr3	32280170	+	CMTM8
chr6	37400906	+	CMTR1
chr16	71323509	-	CMTR2
chr5	78985658	+	CMYA5
chr8	87878675	+	CNBD1
chr20	34556528	+	CNBD2
chr3	128902810	-	CNBP
chr18	72201691	+	CNDP1
chr18	72163499	+	CNDP2
chr16	50059116	+	CNEP1R1
chr19	42894444	-	CNFN
chr4	48014961	-	CNGA1
chrX	150903217	+	CNGA2
chr2	98962617	+	CNGA3
chr11	6260321	+	CNGA4
chr16	58005020	-	CNGB1
chr8	87755903	-	CNGB3
chr14	54908148	-	CNIH1
chr11	66045671	+	CNIH2
chr1	224804178	+	CNIH3
chr1	224544512	+	CNIH4
chr1	26503980	+	CNKSR1
chrX	21392535	+	CNKSR2
chr6	154831753	-	CNKSR3
chr19	11649578	+	CNN1
chr19	1026297	+	CNN2
chr1	95392779	-	CNN3
chr10	101088855	+	CNNM1
chr10	104678074	+	CNNM2
chr2	97481990	+	CNNM3
chr2	97426638	+	CNNM4
chr16	58663790	-	CNOT1
chr3	32726636	+	CNOT10
chr2	101869344	+	CNOT11
chr12	70636773	+	CNOT2
chr19	54641435	+	CNOT3
chr7	135194875	-	CNOT4
chr5	179921416	+	CNOT6
chr4	78740544	-	CNOT6L
chr8	17104387	-	CNOT7
chr5	154237808	+	CNOT8
chr17	40118758	+	CNP
chr2	220041702	-	CNPPD1
chr7	155326539	-	CNPY1
chr12	56710128	-	CNPY2
chr6	42896859	+	CNPY3
chr7	99717264	+	CNPY4
chr6	88875767	-	CNR1
chr1	24239817	-	CNR2
chr2	68547183	-	CNRIP1
chr1	246729638	+	CNST
chr17	40950853	+	CNTD1
chr19	40732597	-	CNTD2
chr11	58390145	+	CNTF
chr9	34590138	-	CNTFR
chr9	34568009	+	CNTFR-AS1
chr9	17134988	+	CNTLN
chr12	41086243	+	CNTN1
chr1	205012339	+	CNTN2
chr3	74570343	-	CNTN3
chr3	2140549	+	CNTN4
chr3	3102829	-	CNTN4-AS1
chr3	2185925	-	CNTN4-AS2
chr11	98891705	+	CNTN5
chr3	1134341	+	CNTN6
chr17	40834631	+	CNTNAP1
chr7	145813452	+	CNTNAP2
chr9	39288300	-	CNTNAP3
chr9	43684884	+	CNTNAP3B
chr9	43685195	+	CNTNAP3P2
chr16	76311175	+	CNTNAP4
chr2	124782863	+	CNTNAP5
chr9	123850573	+	CNTRL
chr17	7835441	+	CNTROB
chr7	43769140	-	COA1
chr17	40950743	-	COA3
chr11	73587890	-	COA4
chr2	99224981	-	COA5
chr1	234509182	+	COA6
chr1	53164038	-	COA7
chr17	40714091	+	COASY
chr7	51384515	-	COBL
chr2	165698678	-	COBLL1
chr14	31343740	+	COCH
chr17	71189172	+	COG1
chr1	230778201	+	COG2
chr13	46039029	+	COG3
chr16	70557457	-	COG4
chr7	107204959	-	COG5
chr13	40229763	+	COG6
chr16	23464512	-	COG7
chr16	69373526	-	COG8
chr17	55038411	-	COIL
chr6	116447296	-	COL10A1
chr1	103574052	-	COL11A1
chr6	33160245	-	COL11A2
chr6	75915623	-	COL12A1
chr10	71561643	+	COL13A1
chr8	121137346	+	COL14A1
chr9	101705994	+	COL15A1
chr1	32169768	-	COL16A1
chr10	105845638	-	COL17A1
chr21	46825096	+	COL18A1
chr21	46844985	-	COL18A1-AS1
chr21	46829980	-	COL18A1-AS2
chr6	70576447	+	COL19A1
chr17	48279000	-	COL1A1
chr7	94023872	+	COL1A2
chr20	61924537	+	COL20A1
chr6	56112378	-	COL21A1
chr8	139926236	-	COL22A1
chr5	178017556	-	COL23A1
chr1	86622121	-	COL24A1
chr4	110223799	-	COL25A1
chr7	101006100	+	COL26A1
chr9	116917824	+	COL27A1
chr7	7575460	-	COL28A1
chr12	48398285	-	COL2A1
chr2	189839098	+	COL3A1
chr13	110959496	-	COL4A1
chr13	110959630	+	COL4A2
chr13	111160526	-	COL4A2-AS1
chr2	228029280	+	COL4A3
chr5	74807806	-	COL4A3BP
chr2	228029275	-	COL4A4
chrX	107683073	+	COL4A5
chrX	107682727	-	COL4A6
chr9	137533650	+	COL5A1
chr2	190044605	-	COL5A2
chr19	10121147	-	COL5A3
chr21	47401662	+	COL6A1
chr21	47518032	+	COL6A2
chr2	238322850	-	COL6A3
chr3	15247466	-	COL6A4P1
chr3	129931662	+	COL6A4P2
chr3	130064358	+	COL6A5
chr3	130279177	+	COL6A6
chr3	48632593	-	COL7A1
chr3	99357439	+	COL8A1
chr1	36590685	-	COL8A2
chr6	71012786	-	COL9A1
chr1	40782939	-	COL9A2
chr20	61448413	+	COL9A3
chr11	111170539	-	COLCA1
chr11	111169270	+	COLCA2
chr8	120079423	+	COLEC10
chr2	3642421	+	COLEC11
chr18	500729	-	COLEC12
chr19	17666510	+	COLGALT1
chr1	184006863	-	COLGALT2
chr3	15563258	-	COLQ
chr2	62132802	+	COMMD1
chr5	115420726	+	COMMD10
chr3	149470286	-	COMMD2
chr10	22605311	+	COMMD3
chr10	22605311	+	COMMD3-BMI1
chr15	75628336	+	COMMD4
chr8	146078963	-	COMMD5
chr13	76123575	-	COMMD6
chr20	31331814	-	COMMD7
chr4	47465676	-	COMMD8
chr11	36310999	-	COMMD9
chr19	18902114	-	COMP
chr22	19929262	+	COMT
chr10	76995770	-	COMTD1
chr1	160313354	-	COPA
chr11	14521441	-	COPB1
chr3	139108522	-	COPB2
chr19	19030199	-	COPE
chr3	128968452	+	COPG1
chr7	130353598	-	COPG2
chr17	30186326	-	COPRS
chr15	49447854	-	COPS2
chr17	17184617	-	COPS3
chr4	83956238	+	COPS4
chr8	67974562	-	COPS5
chr7	99686582	+	COPS6
chr12	6833149	+	COPS7A
chr2	232646380	+	COPS7B
chr2	237994083	+	COPS8
chr12	54718873	+	COPZ1
chr17	46115168	-	COPZ2
chr12	56660641	+	COQ10A
chr2	198318230	+	COQ10B
chr4	84206067	-	COQ2
chr6	99842082	-	COQ3
chr9	131084790	+	COQ4
chr12	120966964	-	COQ5
chr14	74416636	+	COQ6
chr16	19078916	+	COQ7
chr16	57481336	+	COQ9
chr4	47840123	-	CORIN
chr16	30194730	+	CORO1A
chr11	67211292	-	CORO1B
chr12	109125326	-	CORO1C
chr9	100954956	-	CORO2A
chr15	68871307	+	CORO2B
chr17	27948441	-	CORO6
chr16	4466962	-	CORO7
chr16	4466962	-	CORO7-PAM16
chr1	10509775	+	CORT
chr16	84651702	-	COTL1
chr17	13972718	+	COX10
chr17	13972775	-	COX10-AS1
chr17	53046064	-	COX11
chr12	50505763	+	COX14
chr10	101492423	-	COX15
chr14	70826448	-	COX16
chr3	119396243	-	COX17
chr4	73935476	-	COX18
chr7	1015235	-	COX19
chr1	244998638	+	COX20
chr16	85833172	+	COX4I1
chr20	30225690	+	COX4I2
chr15	75230495	-	COX5A
chr2	98262520	+	COX5B
chr12	120875892	+	COX6A1
chr16	31439749	-	COX6A2
chr19	36139124	+	COX6B1
chr19	55866182	-	COX6B2
chr8	100906242	-	COX6C
chr19	36643771	-	COX7A1
chr6	75953644	-	COX7A2
chr2	42588356	-	COX7A2L
chrX	77154960	+	COX7B
chr4	46911252	-	COX7B2
chr5	85913783	+	COX7C
chr11	63742078	+	COX8A
chr14	93813536	+	COX8C
chr3	148939832	-	CP
chr7	130020289	+	CPA1
chr7	129906702	+	CPA2
chr3	148583042	+	CPA3
chr7	129932973	+	CPA4
chr7	129984629	+	CPA5
chr8	68658620	-	CPA6
chr19	17137625	-	CPAMD8
chr3	148545587	+	CPB1
chr13	46679211	-	CPB2
chr13	46626982	+	CPB2-AS1
chr17	28705941	+	CPD
chr4	166300096	+	CPE
chr15	83316767	-	CPEB1
chr4	15004297	+	CPEB2
chr4	15003669	-	CPEB2-AS1
chr10	94050875	-	CPEB3
chr5	173315330	+	CPEB4
chr7	120628750	+	CPED1
chr4	819945	-	CPLX1
chr5	175223609	+	CPLX2
chr15	75118950	+	CPLX3
chr18	56985881	-	CPLX4
chr12	69357020	-	CPM
chr10	101841642	-	CPN1
chr3	194072057	-	CPN2
chr20	34252878	-	CPNE1
chr16	57126454	+	CPNE2
chr8	87526655	+	CPNE3
chr3	131758450	-	CPNE4
chr6	36807220	-	CPNE5
chr14	24540045	+	CPNE6
chr16	89642175	+	CPNE7
chr12	39299420	-	CPNE8
chr3	9745509	+	CPNE9
chr2	207804277	+	CPO
chr3	98312455	-	CPOX
chr16	12897744	-	CPPED1
chr8	97657454	+	CPQ
chr2	211342405	+	CPS1
chr2	211482294	+	CPS1-IT1
chr8	145634733	-	CPSF1
chr14	92588297	+	CPSF2
chr2	9563665	+	CPSF3
chr1	1260067	-	CPSF3L
chr7	99036562	+	CPSF4
chr17	71258019	-	CPSF4L
chr12	69633316	+	CPSF6
chr11	61197464	-	CPSF7
chr11	68609399	-	CPT1A
chr22	51017096	-	CPT1B
chr19	50194364	+	CPT1C
chr1	53662100	+	CPT2
chr1	1260142	+	CPTP
chr7	29186153	-	CPVL
chrX	88002225	+	CPXCR1
chr20	2781292	-	CPXM1
chr10	125651500	-	CPXM2
chr4	8594386	+	CPZ
chr1	207669472	+	CR1
chr1	207818457	+	CR1L
chr1	207627644	+	CR2
chr15	78632665	+	CRABP1
chr1	156675608	-	CRABP2
chr12	3862366	-	CRACR2A
chr11	828259	+	CRACR2B
chr12	94071150	+	CRADD
chr16	1664640	+	CRAMP1L
chr9	131873070	-	CRAT
chr1	197170591	+	CRB1
chr9	126118445	+	CRB2
chr19	6464259	+	CRB3
chr3	3221401	-	CRBN
chr7	65579804	+	CRCP
chr1	152486977	+	CRCT1
chr2	208394615	+	CREB1
chr9	35732316	+	CREB3
chr11	46299188	+	CREB3L1
chr7	137686847	-	CREB3L2
chr19	4153597	+	CREB3L3
chr1	153940314	+	CREB3L4
chr7	28338939	+	CREB5
chr16	3930121	-	CREBBP
chr12	12764766	+	CREBL2
chr5	172483354	+	CREBRF
chr11	85376182	-	CREBZF
chr1	167523056	-	CREG1
chr2	102003965	-	CREG2
chr3	9975523	+	CRELD1
chr22	50312277	+	CRELD2
chr10	35415768	+	CREM
chr8	67090846	-	CRH
chr5	76248679	+	CRHBP
chr17	43697709	+	CRHR1
chr17	43716340	+	CRHR1-IT1
chr7	30739719	-	CRHR2
chr2	36583369	+	CRIM1
chr14	105953256	+	CRIP1
chr14	105939274	+	CRIP2
chr6	43276530	-	CRIP3
chr4	1385339	+	CRIPAK
chr2	46844310	+	CRIPT
chr6	49844809	-	CRISP1
chr6	49681303	-	CRISP2
chr6	49712168	-	CRISP3
chr8	75896707	+	CRISPLD1
chr16	84853586	+	CRISPLD2
chr17	1359561	-	CRK
chr22	21271713	+	CRKL
chr19	18717660	-	CRLF1
chrX	1331616	-	CRLF2
chr17	29151778	-	CRLF3
chr20	5986738	+	CRLS1
chr4	5894810	-	CRMP1
chr16	54963101	-	CRNDE
chr20	20036690	-	CRNKL1
chr1	152386750	-	CRNN
chr1	17248444	+	CROCC
chr1	16957401	-	CROCCP2
chr1	16819196	-	CROCCP3
chr7	86974950	+	CROT
chr1	159684379	-	CRP
chr5	79647785	-	CRSP8P
chr10	99790585	-	CRTAC1
chr11	122709254	+	CRTAM
chr3	33155449	+	CRTAP
chr19	18794424	+	CRTC1
chr1	153931132	-	CRTC2
chr15	91073117	+	CRTC3
chr19	48325098	+	CRX
chr12	107487635	-	CRY1
chr11	45868668	+	CRY2
chr21	44589117	+	CRYAA
chr11	111783937	-	CRYAB
chr17	27573874	+	CRYBA1
chr2	219858127	-	CRYBA2
chr22	27017927	+	CRYBA4
chr22	27013991	-	CRYBB1
chr22	25615611	+	CRYBB2
chr22	25844053	+	CRYBB2P1
chr22	25595816	+	CRYBB3
chr3	97540883	+	CRYBG3
chr2	209028297	-	CRYGA
chr2	209010877	-	CRYGB
chr2	208994554	-	CRYGC
chr2	208989313	-	CRYGD
chr7	151137099	-	CRYGN
chr3	186262167	-	CRYGS
chr13	21100012	-	CRYL1
chr16	21314457	-	CRYM
chr16	21312169	+	CRYM-AS1
chr1	75199092	-	CRYZ
chr21	35014160	-	CRYZL1
chr12	56694175	-	CS
chr12	53574693	-	CSAD
chrX	151903226	+	CSAG1
chrX	151928738	-	CSAG3
chrX	151903136	-	CSAG4
chr22	41957013	+	CSDC2
chr1	115300671	-	CSDE1
chr20	47662782	+	CSE1L
chr20	47662593	-	CSE1L-AS1
chr1	110453232	+	CSF1
chr5	149492935	-	CSF1R
chr5	131409484	+	CSF2
chrX	1337692	+	CSF2RA
chr22	37309674	+	CSF2RB
chr17	38171613	+	CSF3
chr1	36948915	-	CSF3R
chr8	19540261	-	CSGALNACT1
chr10	43633892	+	CSGALNACT2
chr17	61974021	-	CSH1
chr17	61951089	-	CSH2
chr17	61988618	-	CSHL1
chr15	75074424	+	CSK
chr8	4852328	-	CSMD1
chr1	34631443	-	CSMD2
chr1	34334556	+	CSMD2-AS1
chr8	114449242	-	CSMD3
chr4	70796798	+	CSN1S1
chr4	70933102	+	CSN1S2AP
chr4	70999320	+	CSN1S2BP
chr4	70826726	-	CSN2
chr4	71108332	+	CSN3
chr5	148931115	-	CSNK1A1
chr13	37679801	-	CSNK1A1L
chr15	37110707	-	CSNK1A1P1
chr17	80231618	-	CSNK1D
chr22	38794527	-	CSNK1E
chr15	64648442	-	CSNK1G1
chr19	1941160	+	CSNK1G2
chr19	1954548	-	CSNK1G2-AS1
chr5	122847792	+	CSNK1G3
chr20	524482	-	CSNK2A1
chr16	58231782	-	CSNK2A2
chr11	11374904	-	CSNK2A3
chr6	31633656	+	CSNK2B
chr15	76005189	-	CSPG4
chrY	27632852	-	CSPG4P1Y
chr3	47621730	-	CSPG5
chr8	67976602	+	CSPP1
chr3	39195102	-	CSRNP1
chr12	51477454	-	CSRNP2
chr2	166326156	+	CSRNP3
chr1	201476387	-	CSRP1
chr12	77272820	-	CSRP2
chr20	18122867	+	CSRP2BP
chr11	19232118	-	CSRP3
chr20	23731574	-	CST1
chr20	23433482	-	CST11
chr20	23499782	+	CST13P
chr20	23807312	-	CST2
chr20	23618685	-	CST3
chr20	23669662	-	CST4
chr20	23860380	-	CST5
chr11	65779461	+	CST6
chr20	24929865	+	CST7
chr20	23471737	+	CST8
chr20	23586610	-	CST9
chr20	23549386	-	CST9L
chr3	122044010	+	CSTA
chr21	45196256	-	CSTB
chr20	54967426	+	CSTF1
chrX	100075347	+	CSTF2
chr10	53459355	-	CSTF2T
chr11	33183037	-	CSTF3
chr11	33183202	+	CSTF3-AS1
chr20	23420321	+	CSTL1
chrX	134847184	+	CT45A1
chrX	134866213	+	CT45A2
chrX	134883487	+	CT45A3
chrX	134866213	+	CT45A4
chrX	134866213	+	CT45A5
chrX	134866213	+	CT45A6
chrX	120119638	-	CT47A1
chrX	120114778	-	CT47A10
chrX	120114778	-	CT47A11
chrX	120114778	-	CT47A12
chrX	120114778	-	CT47A2
chrX	120114778	-	CT47A3
chrX	120114778	-	CT47A4
chrX	120114778	-	CT47A5
chrX	120119638	-	CT47A6
chrX	120090454	-	CT47A7
chrX	120114778	-	CT47A8
chrX	120114778	-	CT47A9
chrX	120009779	-	CT47B1
chrX	134305751	-	CT55
chr15	71407839	-	CT62
chrX	115594194	-	CT83
chrX	153813417	+	CTAG1A
chrX	153813417	+	CTAG1B
chrX	153881853	-	CTAG2
chr18	19997878	-	CTAGE1
chr13	50464544	+	CTAGE10P
chr13	75814517	-	CTAGE11P
chr7	143268893	+	CTAGE15
chr7	143880547	+	CTAGE4
chr14	39734475	+	CTAGE5
chr7	143454843	-	CTAGE6
chr10	131904272	+	CTAGE7P
chr7	143966877	-	CTAGE8
chr6	132032157	-	CTAGE9
